,name
813,5
814,9
815,8
816,5
817,2
818,2
819,5
820,5
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,8
830,3
831,5
832,4
833,5
834,3
835,7
836,7
837,7
838,5
839,8
840,8
841,2
842,2
843,5
844,5
845,5
846,3
847,3
848,3
849,3
850,3
851,3
852,3
853,3
854,2
855,4
856,4
857,2
858,2
859,8
860,5
861,4
862,4
863,4
864,8
865,9
866,3
867,7
868,2
869,2
870,2
871,8
872,2
873,2
874,4
875,4
876,8
877,8
878,8
879,8
880,8
881,8
882,8
883,8
884,8
885,8
886,8
887,8
888,8
889,8
890,8
891,8
892,8
893,8
894,8
895,8
896,8
897,8
898,8
899,8
900,8
901,7
902,5
903,5
904,9
905,8
906,9
907,9
908,9
909,9
910,9
911,9
912,5
913,9
914,3
915,2
916,4
917,7
918,7
919,8
920,4
921,4
922,8
923,7
924,8
925,8
926,2
927,1
928,5
929,5
930,5
931,5
932,5
933,5
934,1
935,8
936,8
937,5
938,4
939,4
940,4
941,2
942,3
943,7
944,4
945,4
946,4
947,4
948,2
949,7
950,6
951,7
952,2
953,6
954,6
955,7
956,2
957,5
958,7
959,5
960,3
961,9
962,2
963,2
964,7
965,8
966,4
967,4
968,4
969,5
970,8
971,8
972,3
973,9
974,5
975,3
976,2
977,4
978,8
979,7
980,7
981,7
982,9
983,2
984,9
985,4
986,5
987,4
988,8
989,8
990,5
991,1
992,1
993,1
994,2
995,2
996,7
997,5
998,3
999,7
1000,2
1001,3
1002,2
1003,3
1004,4
1005,4
1006,4
1007,8
1008,8
1009,8
1010,8
1011,8
1012,7
1013,4
1014,8
1015,3
1016,7
1017,2
1018,2
1019,2
1020,5
1021,4
1022,8
1023,7
1024,1
1025,5
1026,3
1027,4
1028,6
1029,5
1030,5
1031,5
1032,8
1033,5
1034,2
1035,5
1036,5
1037,5
1038,5
1039,5
1040,5
1041,5
1042,5
1043,5
1044,5
1045,3
1046,7
1047,7
1048,5
1049,5
1050,5
1051,5
1052,5
1053,7
1054,5
1055,4
1056,3
1057,7
1058,9
1059,7
1060,3
1061,3
1062,1
1063,1
1064,4
1065,4
1066,4
1067,4
1068,4
1069,9
1070,9
1071,9
1072,9
1073,9
1074,4
1075,5
1076,8
1077,4
1078,3
1079,3
1080,6
1081,8
1082,7
1083,9
1084,7
1085,5
1086,5
1087,6
1088,4
1089,4
