,0
1004,-1
1005,-1
1006,2
1007,3
1008,5
1009,-1
1010,4
1011,4
1012,4
1013,-1
1014,-1
1015,4
1016,4
1017,-1
1018,5
1019,2
1020,-1
1021,3
1022,3
1023,-1
1024,-1
1025,5
1026,-1
1027,3
1028,-1
1029,-1
1030,2
1031,2
1032,2
1033,4
1034,2
1035,4
1036,4
1037,-1
1038,1
1039,3
1040,-1
1041,5
1042,3
1043,-1
1044,2
1045,3
1046,-1
1047,4
1048,5
1049,2
1050,4
1051,5
1052,3
1053,-1
1054,-1
1055,-1
1056,-1
1057,3
1058,2
1059,4
1060,5
1061,2
1062,4
1063,3
1064,2
1065,-1
1066,4
1067,3
1068,1
1069,-1
1070,-1
1071,-1
1072,3
1073,5
1074,-1
1075,4
1076,3
1077,1
1078,2
1079,-1
1080,4
1081,4
1082,-1
1083,4
1084,4
1085,4
1086,3
1087,5
1088,1
1089,5
1090,2
1091,4
1092,3
1093,4
1094,1
1095,3
1096,4
1097,-1
1098,-1
1099,4
1100,4
1101,4
1102,-1
1103,4
1104,-1
1105,-1
1106,3
1107,2
1108,4
1109,-1
1110,4
1111,4
1112,1
1113,4
1114,-1
1115,-1
1116,5
1117,4
1118,5
1119,1
1120,4
1121,2
1122,1
1123,5
1124,4
1125,4
1126,2
1127,3
1128,4
1129,5
1130,1
1131,-1
1132,-1
1133,4
1134,-1
1135,3
1136,5
1137,-1
1138,4
1139,-1
1140,3
1141,4
1142,1
1143,4
1144,4
1145,4
1146,-1
1147,5
1148,2
1149,-1
1150,4
1151,4
1152,4
1153,-1
1154,1
1155,-1
1156,-1
1157,-1
1158,1
1159,-1
1160,4
1161,2
1162,-1
1163,1
1164,-1
1165,4
1166,1
1167,3
1168,1
1169,-1
1170,-1
1171,-1
1172,3
1173,4
1174,-1
1175,3
1176,4
1177,3
1178,4
1179,5
1180,-1
1181,5
1182,-1
1183,4
1184,5
1185,-1
1186,4
1187,-1
1188,-1
1189,3
1190,5
1191,3
1192,3
1193,5
1194,4
1195,-1
1196,-1
1197,3
1198,-1
1199,-1
1200,3
1201,3
1202,-1
1203,3
1204,2
1205,5
1206,2
1207,4
1208,-1
1209,4
1210,5
1211,4
1212,5
1213,2
1214,4
1215,5
1216,3
1217,4
1218,-1
1219,-1
1220,-1
1221,4
1222,-1
1223,5
1224,2
1225,4
1226,5
1227,4
1228,4
1229,-1
1230,1
1231,1
1232,-1
1233,-1
1234,-1
1235,2
1236,4
1237,-1
1238,4
1239,-1
1240,-1
1241,-1
1242,-1
1243,5
1244,4
1245,3
1246,3
1247,-1
1248,-1
1249,5
1250,3
1251,4
1252,4
1253,3
1254,3
1255,4
1256,4
1257,-1
1258,4
1259,-1
1260,4
1261,-1
1262,-1
1263,4
1264,-1
1265,-1
1266,5
1267,-1
1268,3
1269,-1
1270,-1
1271,-1
1272,3
1273,-1
1274,-1
1275,5
1276,5
1277,5
1278,-1
1279,-1
1280,4
1281,-1
1282,4
1283,4
1284,4
1285,3
